tag_id,species,bill length (mm),bill depth (mm),flipper_length_mm,body_mass_g,age_group,sex,colony_id,island,capture_date,health_status,study_name,clutch_completion,date_egg
ADE-0348,Adelie,38.42,17.61,198.1,3249.0,Adult,M,,Cormorant,2023-05-31,Underweight,PAPRI2023,Yes,2023-05-20
,Chinstrap,50.0,15.75,193.5,2646.0,Juvenile,,Torgersen North,Torgersen,2024-06-04,Underweight,PAPRI2024,Yes,2024-05-30
,Gentoo,47.65,16.56,219.3,4526.0,Adult,Female,Dream South,bisco,2022-11-27,Healthy,PAPRI2022,Yes,2022-11-15
,Chinstrap,41.48,16.26,180.9,3690.0,Juvenile,,Torgersen North,Torgersen,2020-07-13,Healthy,PAPRI2020,Yes,2020-07-13
,Gentoo,46.73,14.73,213.3,4942.0,Adult,Female,,,2019-11-18,Healthy,PAPRI2019,Yes,2019-11-13
GEN-0357,Gentoo,57.64,15.6,216.8,4215.0,Juvenile,Female,Biscoe West,Biscoe,2024-07-19,Healthy,PAPRI2024,Yes,2024-07-17
,Chinstrap,51.74,20.19,198.6,3625.0,Adult,,Biscoe West,Biscoe,2020-01-03,Healthy,PAPRI2020,Yes,2019-12-20
GEN-0358,Gentoo,48.69,15.0,211.9,,Juvenile,,Dream South,Dream,2021-11-07,,PAPRI2021,Yes,2021-11-03
GEN-0359,Gentoo,46.98,13.99,,5852.0,Adult,Male,Dream South,Dream,2024-09-07,Healthy,PAPRI2024,Yes,2024-08-26
GEN-0360,Gentoo,50.48,15.11,216.2,,Juvenile,Female,/Shortcut,Dream,2022-12-19,Underweight,N/A,Yes,2022-12-16
,Chinstrap,46.69,19.01,,3806.0,Adult,?,Biscoe West,Biscoe,2023-08-13,N/A,PAPRI2023,Yes,2023-08-02
GEN-0361,Gentto,46.37,14.74,218.4,3348.0,Adult,Female,Biscoe West,Biscoe,2023-12-09,Underweight,PAPRI2023,Yes,2023-12-02
ADE-0349,Adelie,,16.97,197.1,3901.0,Adult,,Dream South,Dream,2023-09-11,Healthy,PAPRI2023,Yes,2023-08-28
,Adelie,35.25,18.99,,3371.0,Adult,Female,Torgersen North,,2024-03-22,Unwell,PAPRI2024,Yes,2024-03-14
,Chinstrap,49.16,16.04,200.5,3543.0,Adult,Female,Torgersen North,Torgersen,2024-03-06,Healthy,PAPRI2024,Yes,2024-03-01
GEN-0362,Gentoo,50.81,15.39,207.4,3250.0,Chick,Male,Torgersen North,Torgersen,2022-09-24,,PAPRI2022,Yes,2022-09-11
,,40.72,16.95,188.5,4143.0,Adult,,Biscoe West,Biscoe,,Overweight,PAPRI2020,Yes,2020-10-19
CHN-0335,Chinstrap,45.18,17.92,206.0,3115.0,Adult,,Dream South,Dream,,Underweight,PAPRI2020,No,
,Gentoo,47.54,13.1,217.6,4131.684243379516,Adult,,,Dream,2024-05-06,Healthy,PAPRI2024,Yes,2024-04-30
GEN-0363,,50.34,14.52,205.8,,Adult,?,Torgersen North,dreamland,2021-01-04,Healthy,PAPRI2021,Yes,2020-12-22
,Adelie,36.44,16.13,176.7,3346.0,Adult,,Biscoe West,Biscoe,2023-05-31,critcal ill,papri2024,Yes,2023-05-22
CHN-0336,Chinstrap,53.82,15.36,201.3,3431.0,Adult,,Cormorant East,Cormorant,2020-10-21,,PP2020,Yes,2020-10-19
ADE-0350,adeleie,40.34,19.34,194.5,4345.75,Adult,,Torgersen North,Torgersen,2024-02-13,Healthy,PAPRI2024,Yes,2024-02-12
,Chinstrap,45.4,17.73,196.0,3687.0,Adult,,Cormorant East,Cormorant,2020-11-17,critcal ill,,Yes,2020-11-13
ADE-0351,Adelie,35.21,20.98,187.3,3266.0,Juvenile,Male,Shortcut Point,Shortcut,2024-09-01,Underweight,PAPRI2024,Yes,2024-08-19
CHN-0338,Chinstrap,48.09,13.0,191.1,2783.29975820878,Adult,,Torgersen North,Torgersen,2020-12-01,,PAPRI2020,Yes,2020-11-25
ADE-0352,Adelie,41.33,19.54,201.7,3605.0,Adult,,Torgersen North,,2020-04-08,Healthy,PAPRI2020,Yes,2020-03-30
,Gentoo,46.0,15.14,215.6,3740.0,Juvenile,F,Dream South,Dream,2023-11-25,Unwell,PAPRI2023,,2023-11-20
CHN-0339,Chinstrap,43.52,21.0,200.9,,Adult,,Torgersen North,Torgersen,2021-10-06,Healthy,PAPRI2021,Yes,2021-09-29
,adeleie,41.59,16.29,192.9,4153.0,Adult,F,Torgersen North,Torgersen,2021-09-26,Healthy,,Yes,2021-09-25
CHN-0340,Chinstrap,52.15,19.54,194.6,4069.0,Adult,?,Shortcut Point,,2023-05-25,Overweight,STUDY_2022,Yes,2023-05-18
ADE-0354,Adelie,,,185.3,2749.0,Juvenile,,Shortcut Point,unknown,2021-07-24,Critically Ill,,,2021-07-24
ADE-0355,Adelie,,18.6,193.8,2783.0,juvenille,Male,Dream South,unknown,2024-99-11,Underweight,PAPRI2020,Yes,2020-01-23
,Gentoo,,16.21,215.2,,Adult,,TORGERSEN 4,Torgersen,2022-02-05,Healthy,PAPRI2022,Yes,2022-02-03
GEN-0364,Gentoo,54.1,13.0,207.7,5806.0,Adult,Male,Cormorant East,Cormorant,,Overweight,PAPRI2024,Yes,2024-02-23
CHN-0341,Chinstrap,50.03,18.77,206.8,6468.1111844496,Adult,Female,,Biscoe,2019-11-28,N/A,PAPRI2019,Yes,2019-11-14
,Chinstrap,48.84,16.13,193.6,4190.428851229912,Adult,,TORGERSEN 4,Torgersen,2020-01-04,Healthy,PAPRI2020,Yes,2019-12-24
GEN-0365,,57.44,15.42,218.3,4407.0,Juvenile,M,Torgersen North,Torgersen,2020-04-06,Healthy,PAPRI2020,Yes,2020-03-30
,Chinstrap,,,200.5,4303.0,Adult,,,Shortcut,2020-07-02,Overweight,PAPRI2020,Yes,2020-07-02
,Chinstrap,51.21,,196.2,3611.0,Adult,Female,Dream South,Dream,2023-06-06,,PAPRI2023,Yes,2023-05-27
GEN-0366,Gentoo,,15.64,221.8,5653.0,Adult,,Torgersen North,Torgersen,2022-12-13,Healthy,PAPRI2022,Yes,2022-12-11
ADE-0356,Adelie,35.0,16.45,198.5,2500.0,Chick,Female,Torgersen North,Torgersen,2021-05-01,Underweight,PAPRI2021,Yes,2021-04-28
CHN-0342,Chinstrap,48.71,16.23,195.1,3958.0,Adult,Female,Torgersen North,Torgersen,2023-06-30,Healthy,PAPRI2023,Yes,2023-06-16
,Chinstrap,51.09,20.37,,3431.2785854050003,Juvenile,Male,Cormorant East,Cormorant,2022-12-30,N/A,PAPRI2022,Yes,2022-12-19
CHN-0343,Chinstrap,51.51,17.04,198.4,3056.33,Adult,,invalid_colony,Biscoe,2019-10-30,Healthy,PAPRI2019,No,
ADE-0357,Adelie,,18.6,188.5,3418.0,Adult,,Torgersen North,Torgersen,2022-06-17,Healthy,PAPRI2022,Yes,2022-06-04
,Gentoo,60.0,13.0,230.0,4772.0,Adult,Female,Dream South,Dream,2022-10-22,Healthy,,No,
,Gentoo,47.82,,216.7,5451.0,Adult,,Shortcut Point,Shortcut,2021-03-06,Overweight,PAPRI2021,Yes,2021-02-22
GEN-0367,Gentoo,41.77,15.63,218.2,2954.0,Chick,,Dream South,Dream,,Underweight,PAPRI2024,Yes,2024-01-06
CHN-0344,Chinstrap,44.28,18.62,197.0,2500.0,Adult,Male,Biscoe West,Biscoe,2022-04-24,Underweight,PAPRI2022,Yes,2022-04-13
CHN-0345,Chinstrap,58.4,16.38,205.9,3609.0,unk,Male,Torgersen North,Torgersen,2024-08-10,Healthy,PAPRI2024,Yes,2024-07-28
GEN-0368,Gentoo,52.42,13.0,220.5,5175.0,Adult,Male,Biscoe,Torgersen,2020-11-10,Healthy,PAPRI2020,Yes,2020-11-01
,Adelie,40.75,18.88,186.6,3658.0,Adult,Female,Biscoe West,Biscoe,,Healthy,PAPRI2022,Yes,2022-10-01
,Adelie,37.59,17.42,193.9,3323.0,Juvenile,Male,Dream South,Dream,2024-06-22,Healthy,,Yes,2024-06-14
,Gentoo,48.38,14.15,222.6,,Juvenile,Female,Dream South,Dream,,Healthy,PAPRI2021,Yes,2021-05-24
,Chinstrap,48.61,18.15,197.3,2666.0,Juvenile,,Dream South,Dream,2019-10-01,Underweight,PAPRI2019,No,
CHN-0346,Chinstrap,52.38,,189.0,4402.0,Adult,,Torgersen North,Torgersen,2020-02-14,Underweight,PAPRI2020,No,
ADE-0358,Adelie,32.0,17.86,189.6,,Adult,,Cormorant East,Cormorant,2021-02-08,Healthy,PAPRI2021,Yes,2021-02-02
CHN-0347,,49.72,20.09,200.5,3729.0,Juvenile,Male,Biscoe West,short cut,2021-04-18,Healthy,PAPRI2021,Yes,2021-04-07
GEN-0370,Gentoo,45.55,14.41,229.0,5121.0,Chick,Male,Biscoe West,,2023-07-08,Healthy,PAPRI2023,No,
,Adelie,35.39,19.85,184.7,3345.0,unk,,Dream South,,2023-02-07,Healthy,,Yes,2023-02-03
,Adelie,32.0,19.22,203.4,3557.0,Adult,Female,Dream South,Dream,2024-08-27,Healthy,PAPRI2024,Yes,2024-08-21
,Chinstrap,46.53,17.68,204.9,3446.0,Adult,,Torgersen North,Torgersen,2024-08-29,Healthy,PAPRI2024,Yes,2024-08-22
,Chinstrap,44.99,19.66,206.7,3447.0,Juvenile,,Torgersen North,,2023-02-17,Healthy,PAPRI2023,Yes,2023-02-14
,Gentoo,46.03,18.38,227.3,5468.0,Adult,Male,torgersen SE,Dream,2023-04-29,Healthy,PAPRI2023,Yes,2023-04-16
,Gentoo,45.75,15.28,188.7,4904.0,Adult,N/A,Biscoe West,Biscoe,2021-08-04,Healthy,PAPRI2021,,2021-07-30
,Adelie,,20.35,179.5,,Adult,Female,,Torgersen,2020-12-27,Healthy,PAPRI2020,No,
,Gentoo,48.0,16.07,209.37,4595.0,Adult,,Dream South,Dream,2023-02-24,Healthy,PAPRI2023,Yes,2023-02-18
ADE-0359,Adelie,38.24,20.38,187.8,3097.0,Adult,,Biscoe West,Biscoe,2020-04-19,Underweight,,Yes,2020-04-07
,Adelie,,17.67,180.3,3362.0,Adult,,Dream South,Dream,2022-02-10,Healthy,,Yes,2022-02-10
CHN-0348,Chinstrap,47.07,20.54,,4116.0,Adult,Male,Biscoe West,Biscoe,2021-12-25,Overweight,PAPRI2021,Yes,2021-12-13
CHN-0349,Chinstrap,49.91,19.4,194.5,2500.0,Chick,,Biscoe West,Biscoe,2019-11-19,,PAPRI2019,Yes,2019-11-15
,Chinstrap,47.58,18.12,190.8,3522.0,Adult,,Cormorant East,Cormorant,2021-03-03,Underweight,PAPRI2021,Yes,2021-02-26
ADE-0360,Adelie,36.94,19.1,198.5,3849.0,Adult,Female,Torgersen North,Torgersen,2024-01-22,Healthy,PAPRI2024,Yes,2024-01-10
,Gentoo,48.4,15.69,221.6,,Adult,,Biscoe West,Biscoe,2024-02-16,Healthy,PAPRI2024,Yes,2024-02-03
ADE-0361,Adelie,36.35,18.61,,2844.1166969207743,Chick,,Dream South,unknown,2024-06-08,Healthy,PAPRI2024,Yes,2024-06-04
ADE-0362,Adelie,35.2,19.29,195.9,2500.0,Chick,Female,Shortcut Point,Shortcut,2023-05-02,Underweight,PAPRI2023,Yes,2023-04-28
GEN-0371,Gentoo,40.84,17.7,226.0,4642.0,Adult,Female,Dream South,Dream,2023-12-24,Healthy,,Yes,2023-12-24
,Adelie,33.23,17.12,190.6,3508.1041370565777,Adult,,Torgersen North,Torgersen,2023-05-08,Healthy,,Yes,2023-04-30
,Adelie,39.91,15.1,197.3,4139.0,ADLT,Male,,Dream,2023-09-27,Healthy,,Yes,2023-09-21
,Chinstrap,50.48,20.35,190.0,3193.6086370223275,Adult,Male,Torgersen North,Torgersen,2024-11-29,Healthy,PAPRI2024,Yes,2024-11-18
CHN-0350,Chinstrap,53.26,19.46,195.7,4610.0,Adult,Male,Biscoe West,Biscoe,,Overweight,PAPRI2022,Yes,2022-03-23
,Gentoo,52.01,15.74,206.7,3028.0,Chick,Male,Shortcut Point,Shortcut,2021-02-14,Underweight,PAPRI2021,Yes,2021-02-02
,Adelie,37.29,17.71,196.7,2869.0,Juvenile,,Torgersen,Torgersen,2024-07-22,Underweight,PAPRI2024,,2024-07-16
,Gentoo,51.52,13.0,211.3,5056.0,Adult,Female,,Biscoe,2023-04-07,Healthy,PAPRI2023,Yes,2023-04-01
,Gentoo,47.74,15.19,211.1,5025.0,Adult,Female,Torgersen North,Torgersen,2022-03-02,Healthy,PAPRI2022,Yes,2022-02-16
,Adelie,33.37,18.6,186.6,3480.0,Adult,,Dream South,short cut,,Healthy,STUDY_2022,Yes,2020-06-21
,Adelie,38.6,21.0,191.5,3275.0,Adult,Female,Cormorant East,Cormorant,2022-10-01,Underweight,PAPRI2022,Yes,2022-09-22
ADE-0363,Adelie,40.04,17.96,187.6,3756.0,Adult,,Biscoe West,Biscoe,2022-11-08,Healthy,PAPRI2022,Yes,2022-11-04
GEN-0373,Gentoo,51.13,14.77,226.8,5095.0,Adult,Female,Cormorant East,Cormorant,,Healthy,PAPRI2020,No,
CHN-0351,Chinstrap,50.81,15.63,192.1,2500.0,Chick,Male,Biscoe West,cormor,2020-02-08,Underweight,STUDY_2022,Yes,2020-01-28
CHN-0352,Chinstrap,49.88,17.16,194.07,4365.0,Adult,,Biscoe West,Biscoe,2023-10-01,Overweight,PAPRI2023,,2023-09-19
,Adelie,40.96,18.31,200.7,2505.0,Juvenile,Female,Shortcut Point,Shortcut,2021-08-07,Underweight,PAPRI2021,Yes,2021-07-30
,Chinstrap,49.14,,193.8,4030.0,Adult,,Torgersen North,Torgersen,2021-07-06,Healthy,PAPRI2021,No,
GEN-0374,Gentoo,45.1,13.66,208.4,5127.0,Adult,,Cormorant East,bisco,2020-02-23,Healthy,PAPRI2020,Yes,2020-02-12
,Adelie,44.53,19.87,,2824.0,Juvenile,,Unknown,Biscoe,,Underweight,PAPRI2024,,
,Gentoo,46.84,13.59,216.8,4342.0,Adult,Male,Shortcut Point,Shortcut,2022-01-04,Underweight,PAPRI2022,Yes,2021-12-29
CHN-0353,Chinstrap,45.03,18.6,184.6,3727.0,Chick,,Dream South,Dream,2020-10-09,Healthy,PAPRI2020,,2020-09-28
,,55.15,16.73,,3520.25,Adult,Female,Cormorant East,bisco,2020-11-14,Overweight,PAPRI2020,Yes,2020-11-04
ADE-0364,Adelie,34.61,,189.5,4376.0,Adult,,Dream South,,2019-11-11,Overweight,PAPRI2019,Yes,2019-11-03
ADE-0365,Adelie,38.64,21.0,192.2,2599.09,Chick,Male,Biscoe West,Biscoe,2019-10-10,Underweight,PAPRI2019,Yes,2019-10-10
GEN-0375,Gentoo,50.36,15.75,213.2,4717.0,Adult,,Biscoe West,dreamland,2024-08-01,Healthy,PAPRI2020,Yes,2020-10-13
ADE-0366,Adelie,37.37,17.06,184.1,2500.0,Chick,,Shortcut Point,Shortcut,not-a-date,Underweight,PAPRI2020,Yes,2020-07-29
,Chinstrap,48.27,19.25,196.6,3788.0,Adult,Male,Biscoe West,Biscoe,2024-04-24,Healthy,PAPRI2024,No,
GEN-0376,Gentto,45.16,14.39,222.2,4807.0,unk,Female,Cormorant East,Cormorant,,Healthy,PAPRI2024,Yes,2024-12-25
,Gentoo,42.99,15.99,211.7,5288.0,Chick,Male,Dream South,,,Healthy,PAPRI2023,Yes,2023-02-23
,Gentoo,,14.46,213.4,5488.0,Adult,Male,Dream South,Dream,2023-07-01,Healthy,PAPR12021,Yes,2023-06-26
,Adelie,33.2,18.63,193.99,3839.0,Adult,Female,Torgersen North,short cut,2019-12-25,Healthy,PAPRI2019,Yes,2019-12-11
,Chinstrap,53.55,19.18,202.8,3543.0,Adult,,Cormorant East,Cormorant,2024-06-14,Underweight,PAPRI2024,Yes,2024-06-13
GEN-0378,Gentoo,37.78,13.0,205.1,4893.0,Adult,,Biscoe West,Biscoe,2023-09-08,Healthy,PAPRI2023,,2023-08-31
GEN-0379,Gentoo,49.48,14.62,,5177.0,Adult,Male,Torgersen North,Torgersen,2021-05-22,Healthy,PAPRI2021,Yes,2021-05-16
CHN-0355,Chinstrap,52.61,20.36,199.0,2500.0,Chick,Female,Torgersen North,Torgersen,2023-03-02,Underweight,PAPRI2023,Yes,2023-02-18
CHN-0356,Chinstrap,48.68,17.57,184.7,3422.0,Adult,,Cormorant East,,2019-12-25,Underweight,PAPRI2019,Yes,2019-12-11
GEN-0380,Gentoo,44.03,13.0,,5061.0,Adult,Female,Biscoe West,Biscoe,2023-11-22,Unwell,PAPRI2023,Yes,2023-11-18
,Chinstrap,,20.2,,3065.0,Adult,Female,Torgersen North,Torgersen,2023-11-21,Underweight,PAPRI2023,Yes,2023-11-13
,Chinstrap,45.87,18.24,188.9,2500.0,Chick,Female,Biscoe West,Biscoe,2020-10-15,Underweight,PAPRI2020,Yes,2020-10-14
GEN-0381,Gentoo,44.34,17.23,223.33,3958.0,Juvenile,,Torgersen North,Torgersen,2019-11-01,Overweight,PAPRI2019,No,
,Adelie,41.88,16.98,188.8,,Chick,Female,,Shortcut,2020-09-27,Underweight,papri2024,No,
,Chinstrap,49.13,18.16,183.3,,Juvenile,Female,Torgersen North,Torgersen,2024-09-10,Healthy,PAPRI2024,Yes,2024-08-30
,Gentoo,44.77,15.52,207.3,3869.8911937414396,Adult,,Dream South,torg,2024-11-14,Healthy,,No,
CHN-0357,Chinstrap,48.12,16.13,,3034.0,Adult,Female,Dream South,Dream,2021-03-03,Underweight,PAPRI2021,,
ADE-0367,Adelie,40.49,20.9,191.7,3532.0,Adult,,Biscoe West,Biscoe,2020-12-30,Healthy,PAPR12021,Yes,2020-12-28
,Chinstrap,46.53,19.76,183.3,3209.0,Adult,Female,Torgersen North,Torgersen,error,ok,PAPRI2023,No,
,Gentoo,48.05,13.56,219.6,5196.16,Adult,Male,Torgersen North,Torgersen,2021-12-17,Healthy,PAPRI2021,No,
GEN-0382,Gentoo,45.97,,189.81,4252.0,Juvenile,,Cormorant East,Cormorant,2019-12-13,Underweight,PAPRI2019,Yes,2019-12-10
ADE-0368,Adelie,43.51,19.48,185.1,2933.0,Juvenile,,Cormorant East,,2024-04-08,Overweight,,Yes,2024-04-01
GEN-0383,Gentoo,45.08,14.5,222.3,5489.04,Adult,Male,,Torgersen,2024-01-21,Healthy,PAPRI2024,No,
ADE-0369,Adelie,37.53,20.08,200.4,4158.0,Adult,,Shortcut Point,Shortcut,2024-11-30,Overweight,,Yes,2024-11-16
GEN-0384,Gentoo,45.73,,217.6,4997.0,Adult,,Torgersen North,Torgersen,2022-08-01,,PAPRI2022,Yes,2022-07-27
GEN-0385,Gentoo,47.66,13.21,220.3,3309.0,Chick,Male,Biscoe West,Biscoe,,Underweight,PAPRI2023,Yes,2023-02-12
GEN-0386,Gentoo,,15.83,,2938.0,Chick,,Shortcut Point,Shortcut,2022-01-17,Underweight,PAPRI2022,No,
ADE-0370,Adelie,39.09,19.9,194.2,4539.0,Adult,Male,Biscoe West,Biscoe,2023-08-02,Overweight,PAPRI2023,Yes,2023-07-24
ADE-0371,Adelie,32.0,20.93,190.3,4581.0,Adult,Male,Cormorant East,Cormorant,2024-01-08,,PAPRI2024,,2024-01-07
,Adelie,37.34,17.2,187.4,3566.0,Adult,,,Biscoe,2023-05-13,Healthy,PAPRI2023,No,
CHN-0358,Chinstrap,47.24,17.36,208.1,3158.0,Juvenile,Female,Shortcut Point,Shortcut,2021-09-06,Underweight,PAPR2023,Yes,2021-08-30
,Adelie,40.48,19.36,,3236.0,Adult,Female,Dream South,Dream,,Healthy,PAPRI2023,No,
,Chinstrap,50.59,19.93,194.9,3276.0,Adult,Female,Cormorant East,Cormorant,2020-07-21,Overweight,PAPRI2020,Yes,2020-07-13
ADE-0372,Adelie,38.2,13.51,179.3,3192.0,Juvenile,,Shortcut Point,Shortcut,2020-11-30,Underweight,PAPRI2020,Yes,2020-11-24
CHN-0359,Chinstrap,47.24,19.96,194.2,3590.0,Adult,N/A,Biscoe West,Biscoe,2021-08-22,Healthy,PAPRI2021,Yes,2021-08-11
,Gentoo,46.2,17.42,215.5,4447.0,Juvenile,Male,Torgersen North,Torgersen,2024-08-24,Healthy,PAPRI2024,Yes,2024-08-19
,Chinstrap,38.52,16.64,205.1,3197.0,Adult,Female,Dream South,Dream,2020-12-11,ok,PAPRI2020,Yes,2020-12-03
GEN-0387,Gentoo,50.24,13.62,226.7,4614.0,Adult,,Dream South,Dream,2024-08-16,Healthy,PAPRI2024,Yes,2024-08-13
CHN-0361,Chinstrap,43.4,18.07,194.9,2802.0,Juvenile,Female,Biscoe West,Biscoe,2020-10-04,Underweight,PAPRI2020,Yes,2020-10-01
CHN-0362,Chinstrap,59.95,19.58,193.1,2690.0,Juvenile,,Biscoe West,Biscoe,2023-07-25,,PAPRI2023,Yes,2023-07-19
GEN-0388,Gentoo,51.01,14.14,230.0,4064.0,Juvenile,Unknown,Cormorant East,,2021-02-15,Underweight,PAPRI2021,No,
CHN-0363,Chinstrap,47.73,18.93,192.4,4250.0,Adult,,Torgersen,Dream,,Overweight,PAPRI2023,Yes,2023-11-13
ADE-0373,Adelie,38.75,17.43,181.6,2500.0,Chick,M,Torgersen North,,2020-01-17,Underweight,PAPRI2020,Yes,2020-01-03
CHN-0364,Chinstrap,46.32,19.77,185.7,3392.0,Juvenile,Male,Torgersen North,Torgersen,2021-10-13,Healthy,PAPRI2021,Yes,2021-09-29
,Chinstrap,49.83,16.89,196.8,3461.0,Adult,Male,Torgersen,short cut,2024-09-23,Healthy,PAPRI2024,Yes,2024-03-29
ADE-0374,Adelie,36.47,20.1,187.9,4112.0,Adult,, short point,Dream,2020-08-20,Healthy,PAPRI2020,Yes,2020-08-09
,Chinstrap,54.88,18.68,191.7,3584.0,Adult,,Biscoe West,Biscoe,2023-06-21,Healthy,,Yes,2023-06-20
,adeleie,37.09,,189.4,4581.0,Adult,Male,Torgersen North,,2024-01-19,Healthy,PAPRI2024,Yes,2024-01-10
,Gentoo,52.5,15.17,218.8,5738.0,Adult,,Torgersen North,Torgersen,2024-13-24,Healthy,papri2024,Yes,2023-07-06
,Chinstrap,48.18,20.15,206.2,2695.0,Juvenile,Female,Torgersen North,Torgersen,2024-11-20,Underweight,PAPRI2024,Yes,2024-11-08
,Gentto,44.17,14.09,206.0,4921.0,Adult,Male,Torgersen North,Torgersen,2021-09-26,Healthy,PAPRI2021,,2021-09-26
,,44.79,18.04,218.5,4022.484196922712,Adult,Female,Cormorant East,Cormorant,202-01-02,Healthy,PAPRI2020,Yes,2020-10-14
ADE-0375,Adelie,39.57,18.68,193.6,3850.0,Adult,,Unknown,torg,,Healthy,PAPRI2023,Yes,2023-08-29
CHN-0365,Chinstrap,46.08,17.71,181.9,3276.0,Adult,,Torgersen North,Torgersen,2022-04-26,Healthy,PAPRI2022,,2022-04-26
,adeleie,42.9,19.16,183.7,3893.0,Adult,Male,Cormorant East,Cormorant,2021-06-11,Overweight,PAPRI2021,Yes,2021-06-05
CHN-0366,Chinstrap,48.27,18.11,196.4,3660.0,Adult,,Torgersen North,Torgersen,2021-08-18,Healthy,PAPRI2021,No,
CHN-0367,Chinstrap,51.26,18.32,208.3,3586.84,Adult,,Dream South,Dream,202-08-12,Overweight,PAPRI2023,Yes,2023-10-08
CHN-0368,Chinstrap,45.6,13.0,,2500.0,unk,M,Torgersen North,Torgersen,2024-04-06,,PAPRI2024,Yes,2024-03-29
ADE-0376,Adelie,38.76,18.79,199.1,3568.0,Juvenile,,Torgersen North,Torgersen,,Healthy,PAPRI2021,,2021-02-07
,,46.37,15.18,220.5,5514.0,Adult,,Cormorant East,Cormorant,2019-10-20,Overweight,,Yes,2019-10-15
GEN-0389,Gentoo,49.34,14.3,219.6,5733.0,Adult,,Torgersen North,Torgersen,2022-05-01,Healthy,PAPRI2022,Yes,2022-04-21
,Adelie,38.65,17.06,186.3,2500.0,Chick,,Biscoe West,Biscoe,,under weight,PAPRI2020,,2020-10-15
,Chinstrap,,19.78,200.1,2797.0,Juvenile,Male,Cormorant,Cormorant,,,PAPRI2021,No,
,Adelie,40.34,18.97,200.6,3771.0,Adult,, short point,Biscoe,not-a-date,Healthy,,Yes,2022-05-05
ADE-0377,adeleie,35.65,16.0,195.1,3891.0,Adult,Male,Dream South,Dream,2021-03-23,Healthy,PAPRI2021,Yes,2021-03-20
GEN-0390,Gentoo,46.95,14.55,208.8,4397.0,Adult,Female,Torgersen North,Torgersen,2023-12-27,Healthy,PAPRI2023,Yes,2023-12-17
,Gentoo,50.48,15.34,208.3,5050.0,Adult,,Torgersen North,Torgersen,2020-12-20,Healthy,PAPRI2020,Yes,2020-12-09
ADE-0378,Adelie,35.93,18.96,186.2,3324.0,Adult,,Dream South,Dream,2021-02-27,Healthy,PAPRI2021,Yes,2021-02-27
,Adelie,,19.23,195.3,3750.0,Adult,Female,Dream South,Dream,2020-03-12,Healthy,PP2020,Yes,2020-03-05
,adeleie,41.3,18.65,194.4,,Adult,Female,Shortcut Point,Shortcut,2023-08-30,Underweight,PAPRI2023,,2023-08-29
,Gentoo,48.39,15.02,219.0,4028.45,Adult,Female,Torgersen North,Torgersen,2021-10-28,Healthy,PAPRI2021,Yes,2021-10-23
GEN-0391,Gentoo,49.38,13.69,225.1,3243.0,Juvenile,,Shortcut Point,Shortcut,2019-12-27,Underweight,PAPRI2019,Yes,2019-12-13
,Chinstrap,44.98,21.0,210.8,3276.0,Adult,,Dream South,bisco,2022-01-03,Underweight,,Yes,2021-12-27
ADE-0379,Adelie,37.24,18.84,194.5,3914.0,chik,Male,Torgersen North,,2024-08-23,Healthy,PAPRI2024,,2024-08-10
GEN-0392,Gentoo,,15.19,,5435.0,Adult,Male,Torgersen North,Torgersen,2020-08-05,Healthy,papri2024,Yes,2020-08-04
ADE-0380,,40.46,,,2880.0,Juvenile,Male,Dream South,Dream,2022-07-15,Underweight,PAPRI2022,Yes,2022-07-02
,Gentoo,46.3,13.49,221.9,3703.0,Juvenile,,Torgersen North,Torgersen,2022-07-19,Underweight,PAPRI2022,Yes,2022-07-17
,Chinstrap,49.32,18.81,195.8,2500.0,Chick,,Shortcut Point,Shortcut,2020-02-15,Underweight,PAPRI2020,Yes,2020-02-06
,Chinstrap,45.02,17.75,187.4,3815.0,Adult,Male,Torgersen North,Torgersen,2022-01-30,critcal ill,PAPRI2022,No,
ADE-0381,Adelie,39.31,,198.95,,Adult,,,Dream,2023-03-06,Overweight,PAPRI2023,Yes,2023-03-02
CHN-0370,Chinstrap,49.27,,197.9,3658.0,Adult,,Biscoe West,Biscoe,2021-10-26,Healthy,,,2021-10-26
,Chinstrap,45.88,17.5,188.3,2732.05,Juvenile,,Dream South,,2023-08-10,Underweight,PAPRI2023,Yes,2023-08-05
,Gentoo,48.51,15.61,207.3,4464.0,Adult,,Shortcut Point,unknown,2022-11-10,Underweight,PAPRI2022,Yes,2022-10-30
ADE-0382,,40.04,,196.4,4439.755101646966,Adult,,Shortcut Point,Shortcut,2022-12-16,Overweight,PAPRI2022,Yes,2022-12-07
GEN-0393,Gentoo,42.73,16.35,220.9,,Adult,Female,Torgersen North,torg,2024-09-27,Unwell,PAPRI2024,Yes,2024-09-25
,Gentoo,45.3,14.09,219.9,4531.0,Adult,Female,,,,Healthy,PAPRI2020,Yes,2020-02-03
CHN-0371,Chinstrap,40.22,20.79,203.0,3767.0,Adult,,Biscoe West,Biscoe,2022-05-28,,,No,
CHN-0372,Chinstrap,47.74,18.45,209.4,3112.0,Adult,Female,Cormorant East,Cormorant,2021-07-17,Underweight,PAPRI2021,,2021-07-03
,Gentto,44.59,15.31,,5461.0,Adult,Male,Torgersen North,Torgersen,08-02-2019,Healthy,PAPR12021,Yes,2021-05-25
,Gentoo,51.3,13.63,216.3,3822.0,Juvenile,,,Cormorant,2022-02-13,Underweight,PAPRI2022,Yes,2022-02-09
